Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2016,CANADIAN SOLAR INC,Canada,Manufacture of electrical machinery and apparatus n.e.c. (31),-3.31%,-186.78%,-94559587,-89728627,-20759,-1183110,-277025,-3749,-139698,-3207262,644,0.00%
2016,NANYA TECHNOLOGY CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-7.26%,-35.32%,-93307143,-89923819,-20505,-1190968,-279012,-3731,-4108,-1884775,-226,1.00%
2016,OMRON CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.23%,-16.47%,-87920430,-85569501,-19522,-1142875,-265853,-3559,-3715,-915656,251,1.00%
2016,WINBOND ELECTRONICS CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-6.73%,-76.34%,-87547088,-83705944,-19179,-1108355,-259751,-3484,-4153,-2446291,70,1.00%
2016,CHIPMOS TECHNOLOGIES INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-13.76%,-132.57%,-78138228,-76444816,-17704,-1015026,-237897,-3202,-1814,-418322,554,1.00%
2016,WALSIN TECHNOLOGY CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-12.30%,-98.95%,-70267925,-63048805,-14628,-837414,-196027,-2643,-1824,-6167140,557,1.00%
2016,FORMOSA SUMCO TECHNOLOGY CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-20.90%,-234.70%,-69674328,-68163759,-15710,-905905,-212210,-2848,-1065,-373156,325,0.00%
2016,KING YUAN ELECTRONICS COMPANY LIMITED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-10.84%,-58.80%,-67230927,-65773933,-15269,-873561,-204476,-2758,-1981,-359553,605,1.00%
2016,NAN YA PRINTED CIRCUIT BOARD CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-7.21%,N/A,-65003509,-61890889,-31404,-889199,-207110,-4614,-2878,-2031309,53895,1.00%
2016,EPISTAR CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-7.82%,N/A,-61715080,-58412088,-13364,-773986,-181245,-2427,-2520,-2329394,-57,1.00%
2016,RADIANT OPTO ELECTRONICS CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-4.02%,-66.77%,-57407515,-53994842,-12263,-712236,-166882,-2233,-4562,-2514189,-308,1.00%
2016,MOTECH INDUSTRIES INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-6.28%,N/A,-56151516,-55544987,-12854,-738290,-171877,-2323,-2858,321195,476,1.00%
2016,KINSUS INTERCONNECT TECHNOLOGY CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-7.66%,-68.56%,-54840729,-52777583,-12053,-699998,-163721,-2193,-2286,-1182889,-6,1.00%
2016,"APPLIED MATERIALS,INC.",United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.50%,-2.60%,-54402737,-47057873,-14910,-565730,-126825,-2315,-1748018,-4898863,11797,7.00%
2016,SHINKO ELECTRIC INDUSTRIES CO LIMITED,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-3.57%,-54.33%,-43881160,-42374797,-9840,-565978,-131975,-1783,-639,-796760,612,0.00%
2016,ANALOG DEVICES INCORPORATED,United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.09%,-3.57%,-37166996,-31176916,-8441,-395639,-90921,-1410,-552488,-4944909,3729,3.00%
2016,"ENTEGRIS,INC.",United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-3.13%,-23.65%,-36786291,-32796071,-7950,-429649,-100099,-1404,-189782,-3262616,1281,1.00%
2016,WIN SEMICONDUCTORS CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-8.64%,-33.85%,-36360149,-34931643,-7798,-474018,-106509,-1434,-1344,-837565,162,1.00%
2016,YAGEO CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-3.86%,-28.32%,-35287209,-34523670,-8230,-457369,-106745,-1468,-2922,-187696,892,2.00%
2016,WALTON ADVANCED ENGINEERING INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-12.96%,-238.57%,-35026975,-34267782,-7936,-455223,-106583,-1435,-863,-187417,264,1.00%
2016,"FORMOSA ADVANCED TECHNOLOGIES CO.,LTD.",Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-12.70%,-87.04%,-33307645,-32585728,-7548,-432868,-101346,-1365,-838,-178208,256,1.00%
2016,SINO-AMERICAN SILICON PRODUCTS INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-3.41%,-2561.10%,-33272311,-30406813,-7340,-401395,-94040,-1301,-3118,-2359257,952,2.00%
2016,JAPAN AVIATION ELECTRONICS INDUSTRY LIMITED,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-2.07%,-20.76%,-31903788,-29920967,-6821,-398901,-93074,-1243,-800,-1481991,9,5.00%
2016,NUVOTON TECHNOLOGY CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-9.43%,-129.88%,-24264250,-23335657,-5340,-309350,-72502,-970,-822,-539601,-8,1.00%
2016,UNITED RENEWABLE ENERGY CO LTD,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-4.72%,N/A,-24110051,-22323979,-5292,-295905,-69104,-946,-1632,-1413691,498,1.00%
2016,LAM RESEARCH CORPORATION,United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.39%,-2.12%,-22721663,-19501001,-6715,-226671,-49984,-1006,-950290,-1992410,6413,8.00%
2016,SIGURD MICROELECTRONICS CORP.,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-11.22%,-67.74%,-20090691,-19655283,-4560,-261059,-61110,-824,-572,-107457,175,1.00%
2016,ARDENTEC CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-10.04%,-58.91%,-19407468,-18986908,-4413,-252142,-59012,-797,-618,-103767,189,1.00%
2016,E INK HOLDINGS INCORPORATED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-4.46%,-1031.41%,-19302131,-19397914,-4595,-257142,-60057,-822,-1382,419359,422,1.00%
2016,HAMAMATSU PHOTONICS KK,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.74%,-10.33%,-18200887,-16929492,-4005,-226140,-52718,-718,-543,-987664,393,3.00%
2016,SCREEN HOLDINGS CO LTD,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.75%,-8.27%,-16700767,-15467798,-3821,-207812,-48082,-673,-1157,-972260,837,4.00%
2016,"ADVANCED MICRO DEVICES,INC.",United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.38%,N/A,-16374733,-13945812,-4826,-161747,-35629,-721,-689842,-1540812,4656,8.00%
2016,CHENG MEI MATERIALS TECHNOLOGY CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-5.03%,N/A,-16115702,-15767037,-3806,-208805,-48868,-673,-1024,-85929,439,1.00%
2016,TT ELECTRONICS PLC,United Kingdom,Manufacture of electrical machinery and apparatus n.e.c. (31),-2.02%,-41.45%,-14242994,-12904115,-3206,-165094,-38633,-553,-79053,-1052896,556,6.00%
2016,ASML HOLDING NV,Netherlands,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.16%,-0.71%,-11811163,-11019765,-3820,-144371,-32423,-597,-54960,-559174,3948,18.00%
2016,ADVANTEST CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.77%,-10.45%,-10717986,-10159121,-2302,-135989,-31477,-421,-722,-387959,6,1.00%
2016,"TERADYNE,INC.",United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.53%,-3.10%,-9304277,-8589297,-2636,-104497,-23558,-415,-283114,-302670,1911,6.00%
2016,"PROSPERITY DIELECTRICS CO.,LTD.",Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-8.48%,-74.88%,-7022875,-6870715,-1602,-91217,-21342,-289,-265,-37527,81,1.00%
2016,DYNAPACK INTERNATIONAL TECHNOLOGY CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.19%,-112.15%,-6469339,-6202195,-1617,-81428,-18803,-276,-1734,-163814,529,5.00%
2016,"TAIFLEX SCIENTIFIC CO.,LTD.",Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.88%,-20.30%,-5985061,-5855885,-1456,-77262,-17946,-254,-1015,-31554,310,3.00%
2016,AMS AG,Austria,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.00%,-10.63%,-5797403,-5474309,-1333,-70502,-16480,-233,-57930,-176824,208,1.00%
2016,TXC CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.88%,-16.24%,-5588958,-5468333,-1360,-72146,-16757,-238,-951,-29464,290,3.00%
2016,ASM INTERNATIONAL NV,Netherlands,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.83%,-5.53%,-5246287,-5030544,-1265,-66712,-15515,-222,-4836,-127540,347,5.00%
2016,CABOT MICROELECTRONICS CORPORATION,United States,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.15%,-6.63%,-4938570,-4316596,-1152,-55018,-12668,-194,-69509,-483901,469,3.00%
2016,HIROSE ELECTRIC CO LTD,Japan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.25%,-1.06%,-2616400,-2558600,-716,-34999,-7910,-120,-536,-13906,388,11.00%
2016,YOUNG OPTICS INC.,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-1.96%,N/A,-2491957,-2438162,-604,-32179,-7477,-106,-406,-13147,124,3.00%
2016,MEYER BURGER TECHNOLOGY AG,Switzerland,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.52%,N/A,-2326882,-1329095,-325,-17959,-4103,-57,-105,-975302,65,2.00%
2016,MARKETECH INTERNATIONAL CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.22%,-5.83%,-1261469,-1235269,-494,-15305,-3283,-71,-1840,-5769,562,19.00%
2016,ETRON TECHNOLOGY INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.48%,N/A,-952129,-931880,-286,-12004,-2708,-45,-639,-4761,195,11.00%
2016,ELAN MICROELECTRONICS CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.39%,-3.39%,-786531,-769879,-250,-9844,-2201,-39,-647,-3868,198,13.00%
2016,APACER TECHNOLOGY INCORPORATED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.20%,-3.41%,-428435,-419567,-173,-5169,-1100,-25,-673,-1933,205,20.00%
2016,WINMATE INC,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. (31),-0.51%,-3.21%,-210446,-205965,-62,-2658,-601,-10,-133,-1057,41,10.00%
2016,TOYO SEIKAN GROUP HOLDINGS LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-7.56%,-187.50%,-519912488,-504604155,-125250,-6690264,-1569159,-21614,-6186,-6909374,13513,0.00%
2016,BERRY GLOBAL GROUP INC,United States,"Manufacture of fabricated metal products,except machinery and equipment (28)",-7.94%,-84.08%,-515422016,-495547073,-112518,-6464414,-1509642,-20372,-2882810,-8882876,-2311,3.00%
2016,BALL CORPORATION,United States,"Manufacture of fabricated metal products,except machinery and equipment (28)",-5.55%,-58.70%,-502454656,-477412324,-108332,-6176920,-1439740,-19573,-4025450,-13270707,-1610,6.00%
2016,NSK LTD.,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-3.49%,-39.79%,-291501837,-282268692,-65901,-3754246,-879402,-11880,-7522,-4517721,3527,0.00%
2016,"GREIF,INC.",United States,"Manufacture of fabricated metal products,except machinery and equipment (28)",-8.14%,-87.82%,-270579483,-258605005,-58726,-3374724,-788161,-10634,-1476546,-6264503,-1184,3.00%
2016,JTEKT CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.98%,-33.89%,-238026396,-230435819,-54473,-3070183,-716487,-9765,-10798,-3733834,4962,2.00%
2016,NGK INSULATORS LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-6.30%,-33.92%,-235223921,-228833454,-52884,-3045108,-712887,-9578,-3361,-2568192,1545,1.00%
2016,INGERSOLL-RAND PLC,United States,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.91%,-16.04%,-233768148,-215530967,-45501,-2601141,-606557,-8237,-5437460,-9526157,-12128,16.00%
2016,ILLINOIS TOOL WORKS INCORPORATED,United States,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.66%,-7.37%,-225816010,-207753106,-45820,-2498581,-573374,-8115,-6041506,-8890664,-4843,14.00%
2016,NAMPAK LTD,South Africa,"Manufacture of fabricated metal products,except machinery and equipment (28)",-14.96%,-148.61%,-209305357,-194273564,-43194,-2260729,-530495,-7360,-7350894,-4827818,-11302,15.00%
2016,GEORG FISCHER AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-5.51%,-77.26%,-202997846,-197227397,-45274,-2630532,-614012,-8229,-956,-2472357,911,0.00%
2016,NTN CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-3.05%,-45.73%,-187248429,-185331583,-43292,-2467646,-576838,-7803,-5530,1181721,2541,1.00%
2016,VESUVIUS PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-8.10%,-93.54%,-140374513,-134698465,-31457,-1776132,-415862,-5651,-176719,-3271808,1580,1.00%
2016,TRELLEBORG AB (PUBL.),Sweden,"Manufacture of fabricated metal products,except machinery and equipment (28)",-4.21%,-39.44%,-125796993,-121469785,-28370,-1603479,-367388,-5001,-259949,-2062844,-176,3.00%
2016,MORGAN ADVANCED MATERIALS PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-9.68%,-89.40%,-118347593,-114400979,-26623,-1510686,-353790,-4793,-124740,-1927098,1115,0.00%
2016,PENTAIR PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-2.29%,-15.41%,-111773984,-108487187,-26654,-1399619,-326591,-4642,-498858,-1034894,4459,1.00%
2016,SANDVIK AB,Sweden,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.18%,-9.22%,-105859716,-89772326,-22469,-1122272,-262141,-3854,-780978,-13900254,4578,9.00%
2016,"KAWASAKI HEAVY INDUSTRIES,LIMITED",Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.79%,-12.62%,-103850849,-98137478,-23619,-1330598,-301042,-4229,-11886,-4047459,5462,5.00%
2016,BODYCOTE PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-13.71%,-86.05%,-101796907,-99067545,-22935,-1311002,-307126,-4142,-75737,-1009096,677,0.00%
2016,IHI CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.75%,-52.58%,-99376078,-95751273,-23849,-1279468,-296329,-4176,-11873,-2014566,5456,5.00%
2016,MINEBEA MITSUMI INC,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.90%,-22.52%,-99292697,-91956367,-46943,-1213548,-287364,-5867,-4703,-5826496,48590,1.00%
2016,JAPAN STEEL WORKS LIMITED (THE),Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-4.08%,-63.19%,-78122276,-67536057,-16865,-891191,-208987,-2861,-1722,-9465384,791,1.00%
2016,LINCOLN ELECTRIC HOLDINGS INCORPORATED,United States,"Manufacture of fabricated metal products,except machinery and equipment (28)",-3.01%,-19.75%,-68466386,-63725615,-14290,-803294,-186254,-2563,-1010522,-2723036,-810,8.00%
2016,KURITA WATER INDUSTRIES LIMITED,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-3.28%,-35.50%,-60361239,-58905360,-13743,-784258,-183360,-2478,-1653,-471145,760,1.00%
2016,SCHINDLER HOLDING AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.62%,-5.71%,-58683390,-57170275,-13700,-763920,-178059,-2436,-2457,-554116,1571,3.00%
2016,"THK CO.,LTD.",Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-2.57%,-26.69%,-53006709,-46201545,-10905,-614092,-143940,-1956,-1855,-6033270,852,9.00%
2016,TON YI INDUSTRIAL CORPORATION,Taiwan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-4.86%,-84.65%,-49167047,-48100852,-11566,-639240,-149516,-2052,-2234,-262906,1318,0.00%
2016,SUMITOMO HEAVY INDUSTRIES LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.76%,-10.59%,-45903764,-44399430,-9854,-601379,-135203,-1820,-5405,-750829,156,1.00%
2016,WEIR GROUP PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-2.00%,-24.48%,-45683845,-41228915,-10288,-528173,-123108,-1775,-232645,-3561021,2080,6.00%
2016,KONE OYJ,Finland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.49%,-3.37%,-45092566,-41807123,-14032,-410880,-91900,-2077,-2391833,-386995,12275,0.00%
2016,METSO OYJ,Finland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.50%,-18.55%,-40900174,-38545119,-10131,-469909,-108865,-1703,-704129,-1063931,3614,0.00%
2016,ATLAS COPCO AB,Sweden,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.34%,-1.80%,-38050000,-36231673,-11146,-400828,-90385,-1710,-970618,-351167,7528,2.00%
2016,HEIDELBERGER DRUCKMASCHINEN AG,Germany,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.32%,-22.01%,-34868844,-33017338,-7751,-405478,-94480,-1334,-1040093,-302100,-270,10.00%
2016,HIWIN TECHNOLOGIES CORP.,Taiwan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-6.33%,-70.27%,-31493219,-29999553,-6852,-398275,-93237,-1247,-1099,-992937,-20,0.00%
2016,DAETWYLER HOLDING AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-2.37%,-21.90%,-28301908,-26850967,-6211,-357897,-83640,-1124,-310,-1001957,199,1.00%
2016,SULZER AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.82%,-20.35%,-23270126,-22697461,-5358,-303735,-70575,-960,-735,-191773,470,2.00%
2016,IMI PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.05%,-8.52%,-21342422,-17783288,-4835,-218494,-50581,-793,-207942,-3078348,1859,11.00%
2016,"CORTICEIRA AMORIM,SOCIEDADE GESTORA DE PARTICIPACOES SOCIAIS,S.A.",Portugal,"Manufacture of fabricated metal products,except machinery and equipment (28)",-2.92%,-21.00%,-19759577,-18172858,-4154,-236180,-55031,-749,-287837,-1002811,41,4.00%
2016,MAKITA CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.54%,-3.54%,-19645230,-19163759,-4397,-254414,-58679,-788,-3267,-159788,-136,2.00%
2016,DEUTZ AKTIENGESELLSCHAFT,Germany,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.43%,-108.94%,-19082432,-17668851,-4141,-218111,-50843,-715,-521844,-617791,-135,12.00%
2016,NORITAKE CO LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-2.00%,-63.57%,-18790198,-18170703,-4294,-242092,-56499,-770,-846,-315383,389,2.00%
2016,KONECRANES ABP,Finland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.82%,-15.69%,-18339481,-17359673,-5048,-195876,-44854,-804,-576809,-159377,2960,0.00%
2016,NABTESCO CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.84%,-8.75%,-17607929,-17137265,-4241,-228376,-53166,-745,-1887,-183117,867,5.00%
2016,OSG CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.82%,-10.55%,-16502617,-16144112,-3826,-215123,-50186,-685,-814,-88246,374,2.00%
2016,RIETER HOLDING AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.75%,-51.76%,-16298184,-15798891,-3718,-210385,-49141,-663,-241,-235298,154,1.00%
2016,AMADA HOLDINGS CO LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.57%,-4.07%,-14840255,-14423897,-3684,-193020,-44534,-638,-2345,-173215,1078,6.00%
2016,DAIFUKU COMPANY LIMITED,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.38%,-6.03%,-10828853,-10450766,-2394,-139547,-31900,-435,-2593,-201358,139,4.00%
2016,SPIRAX-SARCO ENGINEERING PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.15%,-5.00%,-10796258,-9139968,-2443,-113283,-26263,-405,-95509,-1419241,854,10.00%
2016,EBARA CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.25%,-3.23%,-10538832,-10086324,-2973,-134101,-31082,-485,-3750,-281841,1723,13.00%
2016,KOMORI CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.82%,-11.83%,-6706818,-6516707,-1502,-86773,-20116,-272,-735,-80758,45,2.00%
2016,GLORY LIMITED,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.28%,-3.11%,-5482946,-5349430,-1169,-71299,-16167,-216,-1750,-42832,-83,6.00%
2016,ROTORK P.L.C.,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28)",-0.61%,-3.88%,-4483851,-4294701,-1257,-50671,-11649,-198,-74410,-51631,665,4.00%
2016,KING SLIDE WORKS CO LTD,Taiwan,"Manufacture of fabricated metal products,except machinery and equipment (28)",-1.66%,-3.66%,-2287752,-2238250,-555,-29675,-6871,-96,-305,-12082,82,3.00%
2016,"MOHAWK INDUSTRIES,INC.",United States,Manufacture of furniture; manufacturing n.e.c. (36),-9.19%,-61.89%,-823488526,-774913069,-213926,-10300263,-2392913,-36390,-487220,-35259037,114291,10.00%
2016,NIEN MADE ENTERPRISE CO LTD,Taiwan,Manufacture of furniture; manufacturing n.e.c. (36),-5.42%,-21.95%,-31598637,-30394344,-7072,-404565,-94435,-1277,-720,-696599,375,1.00%
2016,DFS FURNITURE PLC,United Kingdom,Manufacture of furniture; manufacturing n.e.c. (36),-0.87%,-8.72%,-8109984,-5272073,-2403,-71381,-16559,-342,-3784,-2746649,3206,8.00%
2016,FULLSHARE HOLDINGS LTD,Hong Kong,Manufacture of machinery and equipment n.e.c. (29),-147.29%,-4820.30%,-1066811909,-1043186151,-238476,-13869282,-3251558,-43403,-34048,-6188628,-363,0.00%
2016,BOSCH LIMITED,India,Manufacture of machinery and equipment n.e.c. (29),-65.41%,-466.08%,-1022056866,-911153369,-214798,-12089818,-2834577,-38502,-507899,-95232819,14916,1.00%
2016,CONTINENTAL AG,Germany,Manufacture of machinery and equipment n.e.c. (29),-2.34%,-22.90%,-999654425,-948317169,-220241,-12518382,-2906498,-39593,-4438864,-31224227,10549,0.00%
2016,NEMAK SAB DE CV,Mexico,Manufacture of machinery and equipment n.e.c. (29),-12.85%,-113.90%,-494306958,-434526409,-92168,-5141754,-1203328,-16744,-15692055,-37615159,-19341,18.00%
2016,MITSUBISHI ELECTRIC CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.20%,-17.03%,-452102813,-398631237,-90846,-5312624,-1238615,-16559,-31980,-46781214,262,11.00%
2016,SUMITOMO ELECTRIC INDUSTRIES LIMITED,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.74%,-35.59%,-437677939,-425480480,-102853,-5682767,-1327665,-18312,-21346,-5060877,16361,0.00%
2016,AISIN SEIKI CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.54%,-28.22%,-426844927,-385358268,-91551,-5136159,-1199507,-16346,-23602,-35027852,8359,5.00%
2016,NOK CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-4.64%,-71.70%,-296609317,-289429144,-64434,-3945903,-885413,-11896,-5430,-2269020,1923,1.00%
2016,VALEO SA,France,Manufacture of machinery and equipment n.e.c. (29),-1.60%,-20.77%,-279002801,-264949788,-61190,-3556861,-819316,-11082,-13462,-9594587,3486,0.00%
2016,TOYOTA INDUSTRIES CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.38%,-24.02%,-263499356,-254884222,-59368,-3419044,-788529,-10689,-16221,-4325076,3793,0.00%
2016,KEIHIN CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-8.36%,-182.07%,-244860753,-236155347,-54367,-3141975,-736129,-9861,-2486,-4761469,880,1.00%
2016,FAURECIA SE,France,Manufacture of machinery and equipment n.e.c. (29),-1.06%,-20.06%,-209744622,-202073693,-47827,-2723410,-623929,-8579,-15248,-4258409,6473,3.00%
2016,BHARAT HEAVY ELECTRICALS LIMITED,India,Manufacture of machinery and equipment n.e.c. (29),-5.22%,N/A,-202411857,-132001034,-47653,-1570294,-374756,-6017,-1261067,-67158137,7102,10.00%
2016,KUBOTA CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.47%,-12.42%,-201154392,-197342266,-46230,-2641754,-613012,-8336,-11616,-495293,4114,2.00%
2016,GESTAMP AUTOMOCION SA,Spain,Manufacture of machinery and equipment n.e.c. (29),-2.36%,-53.72%,-187668411,-171531865,-40106,-2246766,-523807,-7197,-1222008,-12099771,3110,5.00%
2016,CNH INDUSTRIAL NV,United Kingdom,Manufacture of machinery and equipment n.e.c. (29),-0.67%,-12.79%,-167452035,-158253089,-35414,-1943126,-440493,-6291,-2266567,-4506298,-757,16.00%
2016,FRENI BREMBO SPA,Italy,Manufacture of machinery and equipment n.e.c. (29),-6.75%,-53.09%,-162363995,-148479807,-35060,-1960535,-458924,-6264,-213513,-11212448,2555,2.00%
2016,VISTEON CORPORATION,United States,Manufacture of machinery and equipment n.e.c. (29),-5.10%,-66.83%,-161056763,-10122885,-3146,-137426,-31027,-506,-26397,-150737771,2396,1.00%
2016,TOYODA GOSEI CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-2.38%,-43.42%,-159409011,-155237538,-36349,-2076456,-483128,-6566,-5690,-1566598,3315,0.00%
2016,COMPAGNIE PLASTIC OMNIUM,France,Manufacture of machinery and equipment n.e.c. (29),-2.32%,-28.76%,-143419963,-138762773,-31283,-1892091,-424517,-5745,-4773,-2300806,2026,2.00%
2016,"STANLEY ELECTRIC CO,LTD.",Japan,Manufacture of machinery and equipment n.e.c. (29),-3.47%,-38.11%,-120146995,-116988816,-27181,-1557318,-364519,-4907,-2941,-1202353,1042,1.00%
2016,DANA INC,United States,Manufacture of machinery and equipment n.e.c. (29),-2.00%,-27.07%,-116415334,-109507185,-26575,-1461560,-340461,-4715,-48652,-5030603,4416,3.00%
2016,BORGWARNER INC.,United States,Manufacture of machinery and equipment n.e.c. (29),-1.13%,-9.20%,-102751598,-97737825,-24737,-1307901,-303211,-4312,-75752,-3304736,6876,5.00%
2016,TOYOTA BOSHOKU CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.73%,-17.54%,-88728185,-86170446,-21051,-1156413,-266803,-3707,-10303,-1103111,3649,5.00%
2016,NHK SPRING CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.55%,-28.38%,-85249167,-83352233,-19241,-1108774,-259046,-3471,-4661,-501832,90,0.00%
